Site,annee,SM_Mini,Date_pose,Longitude,Latitude,Altitude,Orientation,Hauteur,Espece,DBH,Date_maintenance,Fuseau_horaire_maintenance,Date_recup,Fuseau_horaire_recup
RNN_Haute_Chaine_Jura,2024,2MA00560,29/02/2024,6.07418,46.39599,1403,185,90,Hetre,0.23,05/06/2024,UTC+1,04/10/2024,UTC+2
RNR_massif_Saint_Barthelemy,2024,2MA00570,29/02/2024,01.807696,42.827681,1532,1.60,58,Hetre,19,12/06/2024,UTC+2,10/10/2024,UTC+2
RBI_des_Maures,2024,2MA00574,18/03/2024,6.382226,43.225015,365,15000.00,9000.00,Chene Pubescent,21.5,22/07/2024,UTC+2,15/10/2024,UTC+2
RBI_mont_Ventoux,2024,2MA00663,05/03/2024,5.329296,44.166308,1283,160,105,Hetre (Fagus sylvatica),15,20/06/2024,UTC+2,NA,NA
foret_de_Beynaves,2024,NONE,NONE,5.699478,44.283951,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Pelouses_habitats_rocheux_gorges_Pommerol,2024,NONE,NONE,5.435857,44.452327,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Foret_orleans,2024,NONE,NONE,2.24816,48.04593,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Patouillet,2024,NONE,NONE,2.263903,46.965395,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
RBI_Rambouillet,2024,NONE,NONE,1.7115072,48.7696299,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Bois_saint_Martin,2024,NONE,NONE,2.60442,48.82085,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
RBI_Verdun,2024,NONE,NONE,5.491405,49.262724,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
RNN_gorges_Ardeche,2024,SM16793,23/02/2024,4.41773,44.36879,375,170,135,Quercus ilex (chene vert),16,21/06/2024,UTC+2,14/10/2024,l'appareil etait regle avec une heure de moins sur le bon fuseau horaire.
RBI_de_la_Louviere,2024,SMA17070,26/02/2024,5.01929,49.17786,263,200,111,hetre,21.1,06/06/2024,UTC+2,02/10/2024,UTC+2
PN_Port_Cros,2024,SMA17107,26/02/2024,6.395416666666667,43.0008611,196,150,193,chene vert,21,18/01/2024,UTC+2,09/10/2024,UTC+2
RBI_de_la_Tonne,2024,SMA17114,23/02/2024,6.52428,49.03727,295,1.7,90,Charme,22,31/05/2024,UTC+2,30/09/2024,UTC+2
PN_Ecrins_Confolens,2024,SMA04651,07/03/2024,5.99453,44.93660,1350,180,140,Abies alba,17.2,03/06/2024,UTC+2,15/10/2024,NA
RNN_Etang_Horre,2024,SMA08065,29/02/2024,4.67023,48.50200,120,170,55,Charme,20,06/06/2024,UTC+2,02/10/2024,UTC+2
Foret_de_la_reine,2024,SMA11764,29/02/2024,5.75119,48.79408,242,150,58,Carpinus betulus,25,10/07/2024,UTC+2,25/10/2024,UTC+2
