Site,annee,SM_Mini,Date_pose,Longitude,Latitude,Altitude,Orientation,Hauteur,Espece,DBH,Date_maintenance,Fuseau_horaire_maintenance,Date_recup,Fuseau_horaire_recup
RNCFS Caroux Espinouse,2025,SMA17073,13/02/2025,43.6122855,2.9181532,1030,140,150,SAPIN PECTINE,20,,,,
Pariou,2025,2MA000453,28/02/2025,45.797659,2.980294,1026,124,200,Hetre,19,,,,
RNN Jujols,2025,2MA00416,05/03/2025,2.26305,42.60688,2115,150,150,Pin Ã crochet,23,,,,
RNN des dunes et Marais d'Hourtin,2025,SAM17072,04/03/2025,-1.137894,45.204749,15,140,140,Chene pedoncule,25,,,,
RNR Mont des Avaloirs,2025,SMA17079,03/03/2025,48.457600,-0.149534,345,175,220,Bouleau,25,,,,
Reserve Biologique de Longegoutte-Gehant (88),2025,2MA00391,06/03/2025,47.928670,6.756522,870,95,150,epicea,25.0,,,,
Reserve Naturelle Nationale des Hauts de Villaroger,2025,2MA00429,09/03/2025,45.583851,6.859332,1784.39,210,165,Epicea,22,,,,
RNN Mantet,2025,2MA00340,12/02/2025,2.30148,42.46829,1752,45,158,Sapin,57,,,,
Foret departementale de Campagne,2025,SMA 17108,11/03/2025,0.980091,48.8984496,185,90,150,chene pubescent,20,,,,
Rbi de la louviere (55),2025,SMA17070,26/02/2025,49.177866,5.019172,200,126,200,Hetre,21,,,,
Zone Speciales de Conservation Natura 2000 FR8201695 Â« Pelouses et habitats rocheux des gorges de Pommerol »,2025,2MA00369,10/03/2025,5.435857,44.452327,1100,146.1,150,Chene pubescent,0.2,,,,
Massif de la Clape,2025,SMA17113,27/02/2025,43.1353535,3.1208032,30,5,200,Pin d'Alep,60,,,,
Foret de la Molestie,2025,2MA00571,11/03/2025,1.9410937,45.5247070,803,268,180,Hetre,15,,,,
RBI de Malvran,2025,SMA 16790,28/02/2025,48.202767,-3.079255,256,83.7,140,Bouleau pubescent,20,,,,
RBI TANARGUE,2025,2MA00497,12/03/2025,4.202271,44.586293,700,320,150,Sapin,25,,,,
foret de Beynaves,2025,2MA03821,28/02/2025,5.699478,44.283951,1190,180,160,hetre,0.2,,,,
N2000 Monts du Cantal ( Foret du Falgoux),2025,2MA00558,14/03/2025,45.122243,"2,65417",1245,348,171,Hetre,17,,,,
Foret de la Massane,2025,SMA12455,07/03/2025,3.0316666666666667,42.4908333,680,235,180,Fagus sylvatica,40,,,,
RBI Grands Monts,2025,2MA00332,17/02/2025,"2, 857052","49,332785",87,95,150,Ã‰rable sycomore,23,,,,
Mont Saint Frieux,2025,SMA12457,17/02/2025,50.602019,1.605751,44,245,210,Ã‰rable sycomore,80,,,,
Rbi de la tonne,2025,SMA17114,19/02/2025,49.02150,6.31271,290,50,170,Bouleau,25,,,,
Bois de Cely,2025,2MA01554,20/02/2025,48.8208946,2.6044571,107,118,200,Quercus sp.,20,,,,
RBI des Landes,2025,2MA00454,19/02/2025,0.68290,49.45749,29.2,48,150,Hetre,22,,,,
RBI Jumelles d'Ornes,2025,SMA16845,28/02/2025,"49.2627366,",5.4913787,272,117,200,charme,19.5,,,,
